ASR Microelectronics (Shanghai) Co., Ltd.;11980
ASRock Inc.;9934
ASSA ABLOY AB;9556
Assem Technology Co., Ltd.;11061
Astoria Networks GmbH;7956
Astro Gaming ‐ OBSOLETE;9886
Astro HQ LLC;12364
ASTRON INTERNATIONAL CORP.;7310
Astronics Advanced Electronic Systems Corp.;10313
ASUSTek Computer Inc.;2821
ASWAN ELEC. SALES CO., LTD.;11837
AT Sciences, LLC;10408
ATANS Technology Inc.;11274
ATC‐NY;9945
ATE Systems;10884
ATECH FLASH TECHNOLOGY;4528
Atelier Vision Corporation;11109
ATEN International Co. Ltd.;1367
Atest‐Gaz A. M. Pachole sp. j.;10348
ATL‐SD Co., Ltd.;11071
Atlas Copco;10814
AtlasIED;12088
Atmel Corporation;1003
Atos Worldline;10060
ATP Electronics Inc.;5295
ATP Industries Group Ltd.;11143
ATRON electronic GmbH;10310
Atrust Computer Corp.;10797
ATT Nussbaum Pruftechnik GmbH;12260
ATTO Technology, Inc.;1629
AU Optronics Corporation;10147
Audience, A Knowles Company;11325
Audient Limited;9992
Audientes;11397
Audinate;12312
Audio Alchemy;11102
Audio Ape Inc;12099
Audio Technology Switzerland SA;5023
Audio Tuning Vertriebs GmbH;10098
Audio‐Technica Corp.;2313
Audiolink Co., Ltd;11740
Audiotec Fischer GmbH;11855
AUDIS SARL;9970
Auma Riester GmbH & Co. KG;10976
Aute (Zhongshan) Electronics Technology Co., Ltd.;12140
Autel Robotics Co., Ltd.;12151
AuthenTec, Inc.;2303
AutoChips Inc.;11233
Autodesk Inc.;10883
Autoliv Romania S.R.L.;10145
Automation Electronics Inc.;11228
Automotive Data Solutions, Inc.;10059
AutoNavi Software Co., Ltd.;11386
Ava Enterprises, Inc. dba Boss Audio Systems;11444
Avago Technologies Inc.;1150
Avago Technologies, Pte.;6447
Avantes B.V.;6546
Avantree Corporation;12145
Avaya;3486
Avconn Precise Connector Co., Ltd.;9165
Avegant Corporation;11331
AVer Information Inc.;9588
AVerMedia Technologies, Inc.;1994
Avery Design Systems, Inc.;8981
AVEST‐SYSTEMS Private Unitary Enterprise;10401
Avid Identification Systems, Inc.;11969
Avision, Inc.;1592
Avista Corporation;11441
AVIWEST;10215
AVM GmbH;1404
Avnera;5901
Avnet;8959
AVTECH Corporation;10119
Axell Corporation;3779
Axes System sp. Z.o.o.;10579
AXIOMTEK Co., Ltd.;4491
Axis Communications AB;1938
AZIO Corporation;5904
AzureWave Technologies, Inc.;5075
Azuri Technologies Ltd;10605
B & P Automation Dynamics Ltd;11532
B & W Group;6581
b‐plus GmbH;11103
B&B Electronics;2134
B&B Exporting Limited;11100
BAANTO;9299
Backyard Brains;11891
Bad Elf, LLC;10749
Bad Rabby Designs;10040
BAFO/Quality Computer Accessories;1398
Baidu Online Network Technology (Beijing) Co., Ltd.;10581
Baikal Electronics JSC;10965
BalanceMaster, Inc.;10687
Baldwin Boxall Communication Ltd.;7689
Balluff GmbH;8197
BandLab Machines Pte. Ltd.;12084
Medicom Innovation Partner a/s;10656
BAP Precision Ltd.;9315
Barclays;10235
Barco;1536
Bardac Corporation;9991
Bare Conductive Ltd.;10862
Barrett Communications Pty. Ltd.;11267
Basler AG;9846
Battlespace Simulations, Inc.;11581
Baumer Optronic GmbH;10277
BBPOS Limited;11369
BDStar (Chongqing) Auto Electronic Co., Ltd. 12025
BDX;11050
Beartooth Radio, Inc.;11324
Beats Electronics LLC;10507
BEEVC‐Electronic Systems, LDA;10697
BEFS Co., Ltd.;11239
Behringer Spezielle Studiotechnik GmbH;5015
Beijer Automotive BV;11956
Beijer Electronics AB;5535
BeiJie Electronics Technology Co., Ltd;11803
Beijing 7invensun Science & Technolgy Co., Ltd.;12308
Beijing ANTVR Technology Co., LTD;11560
Beijing ASU Tech Co., Ltd.;11387
Beijing Baofengmojing Technologies Co. Ltd;11561
Beijing Casue Technology Co., Ltd.;10874
Beijing Chushifengmang Technology Development Co., Ltd.;12343
Beijing Daming Wuzhou Science & Technology Co., Ltd.;34857
Beijing Guanghexincheng Technology Co., Ltd.;12417
Beijing Jinke XinAn Technology Co., Ltd.;10367
Beijing Kingrich Medical Technology Co., Ltd.;10940
Beijing LLVision Technology Co. LTD;11785
Beijing MIIIW Technology Co., Ltd.;12356
Beijing Pico Technology Co., Ltd.;11584
Beijing PixelAuth Technology Ltd.;12042
Beijing Qunli Tiancheng Network Technology Company;12014
Beijing SHENQI Technology Co., Ltd.;11084
Beijing Tiertime Technology Co., Ltd.;18245
Beken Corporation;9639
Bel Stewart;4717
Belkin Electronic (Changzhou) Co., Ltd.;8205
Belkin International, Inc.;1293
Bellingham + Stanley Limited;10839
Bellwether Electronic Corp.;10875
Benchmark Drives GmbH & Co. KG;10890
BenQ Corporation;1189
Bensussen Deutsch & Associates, Inc. (BDA);8406
Berthold Technologies GmbH & Co. KG;8227
Best Buy China Ltd.;6655
Best Case and Accessories, Inc.;11748
Best Integration Technology Co., Ltd.;11023
BESTMEDIA CD‐Recordable GmbH & Co. KG;9849
Better Holdings (HK) Limited;4823
beyerdynamic GmbH & Co. KG;11856
BF1 Systems Ltd.;10535
BFFT GmbH;9975
BIAMP SYSTEMS;10470
Bien‐Air Dental;12120
Billion Bright (HK) Corporation Limited;3158
Binatone Electronics Int. Ltd.;10705
BIO‐key International, Inc.;10595
Bio‐Medical Research;10723
BIOMATIQUES IDENTIFICATION SOLUTIONS PRIVATE LIMITED;10339
bioMerieux, Inc.;11922
BIOS Corporation;6487
BiovenTus, LLC;10529
Bitatek CO., LTD;11918
BitifEye Digital Test Solutions GmbH;9184
Bitmain Technologies Inc.;12465
Bitmanufaktur GmbH;9062
Bittium USA Inc.;8446
BittWare Inc.;9512
BITwave PTE LTD.;11051
Biwin Storage Technology Co., Ltd.;12357
Bixolon Co., Ltd.;5380
Bizlink Technology, Inc.;1732
Bkav Corporation;10796
Black Diamond Advanced Technology, LLC;10836
Black Diamond Video;10368
BlackBerry Limited;4042
BlackBox Biometrics, Inc.;10948
Blackstar Amplification Ltd.;10196
Blendology Limited;9933
BLOCKMASTER AB;7674
Blu Controls;10039
Blu5 View Pte. Ltd.;11574
Blue Goji;9892
Blue‐White Industries, Ltd.;12326
BlueberryE GmbH;11378
Bluefish Technologies Pty Ltd.;10139
BluePacket Communications Co., Ltd.;10041
BlueView Technologies, Inc.;5894
Bluink Ltd;10942
BMT Messtechnik GmbH;11351
Boca Systems Inc.;2627
BOMTECH ELECTRONICS CO., LTD.;11743
Bonsai Lab, Inc.;11318
Booz Allen Hamilton;12015
Bor;10372
Borqs Hong Kong Limited;11446
Bosch Automotive Service Solutions;4702
Bosch Sicherheitssysteme Engineering GmbH;10127
Bose Corporation;1447
boud;11650
Boundary Devices;12310
Bourns, Inc.;3673
Boxlight;12454
Bozhou BoTong Information Technology Co., Ltd.;11377
BRAGI GmbH;11384
BrainScope Company, Inc.;11807
BRAND GMBH + CO KG;12292
Braster S.A.;12133
Bren‐Tronics, Inc.;11771
Bretford Manufacturing Inc.;10351
Bridge Semiconductor Corp.;10258
Brightsight BV;9836
BrightSign LLC;10359
Brite Semiconductor (Shanghai) Corporation;10354
Britelite Enterprises;10590
Broadcom Corp.;2652
Broadsound Corporation;10607
Broadway Semiconductor, Inc.;10903
Broadway System, Inc.;9919
Brookfield Engineering Laboratories Inc.;10259
Brookman Technology, Inc.;12212
Brother Industries, Ltd.;1273
Brunel University;10727
BRYSTON LTD.;7605
BSH Bosch und Siemens Hausgerate GmbH;10278
BSkyB LTD.;10197
BSUN Electronics Co., Ltd.;10799
BUFFALO INC.;1041
BUFFALO KOKUYO SUPPLY INC.;7640
Buffalo Memory Co., Ltd.;11284
Bury Sp. z o. o.;8382
Butterfly Network Inc.;11988
BYK‐Gardner GmbH;10353
Byrne Electrical Specialists, Inc.;12066
Virrata AB;2707
C‐MEDIA ELECTRONICS INC.;3468
C‐Smartlink Information Technology Co., Ltd. 11604
C.B. Kaymich & Co Limited;12094
C.E.T.W.I.N System Solutions Sweden AB;8314
C&A Marketing;9647
Cable Matters Inc.;11221
Cable Technology Corp.;11619
Cables To Go;4266
Cables Unlimited;4813
Cabletech Electronics (Hong Kong) Co., Ltd.;10360
Cadence Design Systems, Inc.;1369
Cadex Electronics Inc.;8044
Cadwell Laboratories, Inc.;10176
Cal‐Comp Electronics & Communications;7976
Calcivis Ltd;12169
CalDigit, Inc.;8584
Calix;10904
CAM2 Technologies, LLC dba: Czitek;11508
Cambo Fotografische Industrie B.V.;12082
Cambridge Silicon Radio Ltd.;2578
Cambrionix Ltd;11481
Camgian Microsystems;9960
Camozzi spa;10032
Canon Electronic Business Machines (H.K.) Co., Ltd.;11343
CANON ELECTRONICS INC.;4227
CANON IMAGING SYSTEMS INC.;5942
Canon Inc.;1193
Canopus Co., Ltd.;1520
Canopy Co.;10688
Canova Tech;10674
CANVASBIO CO., LTD;11760
Canyon Semiconductor;10817
CAR MATE MFG. CO., LTD.;11753
Cardiac Insight, Inc.;11024
CardioGrip Corporation;9989
CAREL SPA;10236
Carmanah Signs;9643
Carotron, Inc.;10701
Carter Duncan Corp.;11852
Casco Products Corp.;10912
Cashmaster International Limited;11295
Cashway Technology Co., Ltd.;10239
Casio Computer Co., Ltd.;1999
CAST Navigation LLC;10081
CAST, INC.;5823
castAR, Inc.;11872
CBN Inc.;10527
CCTEC ‐ Codigo CTECnologia;12191
CDEX CORP.;10786
CE LINK LIMITED;8341
CEFLA S.C.R.L.;6551
CELLIENT CO., LTD.;9874
Cellon Communications Technology (Shenzhen) Co., Ltd.;10299
Cellwise Holding Co., Ltd.;10573
Centerm Information Co., Ltd.;11078
Centon Electronics;4381
Central Engineering Co., Ltd.;12442
Centre for Advanced Transport Engineering and Research;10802
Centre for Development of Advanced Computing (C‐DAC);10381
Century Corporation;2039
Cepa Taiwan Ltd.;12080
CERA;10733
CESI Technology Co., Ltd.;8317
CETA Testsysteme GmbH;10548
Ceton Corp.;9266
CEVA DSP ltd.;12287
Chain‐In Electronic Co., Ltd.;9481
Chakra Energetics Ltd.;10344
Chang Yang Electronics Company Ltd.;7996
Changsha JingJia Microelectronics Co., LTD.;11944
Changsha Sunvote Limited;12144
Changshu Hengji Technology Co., LTD;12397
Changzhou Comp Electronic Co., Ltd.;12128
Changzhou Lemi Electronic Co., Ltd.;12415
Changzhoushi Wujin Miqi East Electronics Co., Ltd.;10446
Changzhou Shinco Automotive Electronics Co., Ltd.;11322
Changzhou Traful Electronic Co., Ltd.;10014
Changzhou Wistar Electronics Co., Ltd;12229
Changzhou Wujin BEST Electronic Cables Co., Ltd.;8181
Channel Islands Audio;9994
Chant Sincere Co., Ltd;3170
Charles Novacroft Direct Limited;10207
Charm Sciences Inc.;11229
Charon Technologies LLC;10500
Chart Industries;10855
CheckSum, LLC;10856
Cheetah Hi‐Tech, Inc.;10087
Chemyx Inc.;10211
ChengFong International Limited;10918
Chengyi Semiconductors (Shanghai) Co., Ltd.;11198
Chengyinghulian Technology (Beijing) Inc.;12418
CHESEN ELECTRONICS CORP.;2689
CHI SHING COMPUTER ACCESSORIES CO., LTD.;4087
Chiaro Technology Ltd.;12419
Chicony Electronics Co., Ltd.;1266
Chief Land Electronic Co., Ltd.;4003
Chikuma Seiki Co., Ltd.;11337
Chin‐Ban Electronics (Hong Kong) Co., Ltd.;8519
China Aviation Optical‐Electrical Precision Electronics (Shenzhen) Co., Ltd.;12119
China Daheng Group Inc Beijing Image Vision Tech Branc;11170
China Hualu Group Co., Ltd.;11083
China Mobile Group Device Co., Ltd.;10478
China Telecommunication Technology Labs ‐ Terminals;7666
China Tsp Inc;11483
Ching Tai Electric Wire & Cable Co., Ltd.;3714
Chinon Corporation;10532
CHIPMAST TECHNOLOGY CO., LTD.;9585
Chipone Technology (Beijing) Co., Ltd.;10926
Chipsea Technologies (Shenzhen) Corp;11712
Chiyoda Electronics Co., Ltd.;10662
ChongQing Lihua Technology Co., Ltd.;12396
Chrontel, Inc.;1593
Chu Yuen Enterprise Co., Ltd.;4164
Chubu Electric Co., Ltd.;12384
Chunghsin International Electronics Co., Ltd.;11335
CHUNGHWA PICTURE TUBES, LTD.;8775
CHUO ELECTRIC WORKS CO., LTD.;5299
Churchill Navigation;11545
CIB Security Inc;11776
CiDELEC;10624
CIM‐USA Inc.;5038
CIMA SPA con socio unico;11682
Cinterion Wireless Modules GmbH;7725
CipherLab Co., Ltd.;9237
Circuit Assembly Corp.;2038
Cirrus Logic Inc.;1065
Cirrus Research plc;11066
CIS Corporation;10994
Cisco Systems, Inc.;1446
Cista System Corporation;10659
Citius Systems, Inc;12363
CJSC Nordavind;11380
CKD Corporation;11781
CKD NIKKI DENSO CO., LTD;9302
CKM Electronics Co., Ltd.;8998
Clarion (Malaysia) Sdn. Bhd.;11805
Clarion Co., Ltd.;1288
Clas Ohlson AB;11817
Clear Signal Solutions;12202
Clinton Instrument Company;11110
Clinx Science Instruments Co., Ltd.;12430
Closed Loop Design, LLC;11402
Cloud9 Technologies LLC;11394
Cloudminds (ShenZhen) Holdings Co., Ltd.;12153
Clover Network;10483
Club 3D BV;11548
Club Electronics;9529
Clyde Broadcast Products Ltd.;11438
CME;9615
CMO America;dba ZipKord Solutions11636
CNPLUS;10788
Coagent Enterprise Limited;11305
Cobalt Digital, Inc.;10128
Codethink Limited;10173
Codex Digital Limited;10264
Cojali S.L. ES‐B13210489;11236
Color Sentinel Systems, LLC;11662
COLORFUL;12108
Colorimetry Research, Inc.;10137
Colorix SA;11115
Comarch S.A.;11616
Comcast;10556
Comcraft;10489
Comda Advanced Technology Corporation;1911
Comfort Audio AB;10345
Comio Communication Co., Ltd.;11346
COMLINK ELECTRONICS CO., LTD.;7795
Commend International GmbH;11059
Commtech, Inc.;11952
Comoss Electronic Co., Ltd.;1805
COMOTA Co., Ltd.;10614
Compal Electronics, Inc.;1207
Compupack Technology Co., Ltd.;8659
Computational Systems Incorporated;4247
COMPUTEX Co., Ltd.;2636
Comtrue Inc.;12230
Concraft Holding Co., Ltd.;7843
CONET Solutions GmbH;12095
Conexant Systems LLC;1394
Contac Cable Industrial Limited;7118
Contech Research, Inc.;2468
Contek Electronics Co., Ltd.;3537
Contemporary Research Corporation;12424
Continental Automotive Systems Inc.;7738
Continental Automotive Trading UK Ltd.;4696
Control iD;12342
Control Module;12428
Cool Control (S.D.) Ltd.;10668
Cooler Master Co., Ltd.;9494
Cooper Industries;9759
Copartner Technology Corporation;1937
Corega Inc.;1962
Corigine, Inc.;11409
Corning Optical Communications LLC;9679
Coronado Electronics, Inc.;10991
CoroWare, Inc.;11222
Corp. Wakuto System Products;12258
Cosemi Technologies Inc.;11479
Cosmic Circuits Pvt. Ltd.;10069
Covidien Respiratory and Monitoring Solutions 5051
Coyote System;10627
Cozumo, Inc.;10966
Creaform Inc. (Ametek Ultra Precision Technologies);11364
CREALOGIX E‐Banking AG;9154
Creative bits Solutions;11440
Creative Labs;1054
Credo Semiconductor, Inc.;12432
Cree, Inc.;10512
Cross Match Technologies, Inc.;2059
Cross the Road Electronics, LLC;10698
CRU;3728
CryLaS ‐ Crystal Laser Systems GmbH;11600
Cryos Technologies Inc.;12295
Cryptera A/S;9574
Crypto Control Limited;10706
Cryptotronix;12294
CSL Wire & Plug (Shen Zhen) Company3848
CSSN, Inc. dba Card Scanning Solutions;6308
CTI INFORMATION CENTER CO., LTD.;10091
CTK Corporation;5293
CUI Inc.;12403
Culti Co., Ltd.;10250
Custom Engineering SPA;3540
CviLux Corporation;3991
DONGGUAN CITY C‐XUN ELECTRONIC CO., LTD.;11482
Cyanogen Inc.;11108
Cyber Power Systems, Inc.;1892
Cyberith GmbH;11174
CYD Electronics (Shenzhen) Co., Ltd.;11691
Cylite Pty Ltd;12172
Cypher Labs LLC;10104
Cyplex Corporation;10428
Cypress Control;12380
Cypress Semiconductor;1204
Cypress Semiconductor GmbH;6762
Cytek Biosciences, Inc.;11717
cytonome;10761
CyWee Group Limited;10335
CZ.NIC, z.s.p.o.;12450
D & M Holdings, Inc.;5454
D‐Box Technologies;5577
D‐Link Corporation;8193
Dacuda AG;10063
DADT Holdings, LLC;9426
Daesung Eltec., Ltd;11292
Dai‐ichi Dentsu Ltd.;11430
DAIICHI PARTS (HK) CO., LTD.;8206
Daimler AG;9697
Daiwoo Electronics Co., LTD;11612
Dalian Zonewin Electronics Co., Ltd.;10844
Damage Control Engineering;12386
Dane‐Elec Corp. USA;6512
Danelec Marine A/S;11705
Danfoss A/S;7750
Danfoss Turbocor Compressors Inc. 10179
Dangi Internet Electronics S.L.;11983
Danville Signal Processing, Inc.;10067
DAQ SYSTEM Co., Ltd.;9978
DAQRI LLC;12137
Darkglass Electronics;12198
DAS Companies, Inc.;12072
DASANELECTRON CO., LTD;11937
DASCOM;10343
Dashine Electronics Co, Ltd;11820
DashLogic Inc.;10222
Data Transfer & Communications Ltd.;9030
Datafab Systems Inc.;1988
DATAFIELD INDIA PVT.LTD.;7616
Datafield Industries (HK) Ltd;11787
Datalink Electronics Ltd.;10003
Datalogic srl;1529
DATAPATH LTD;11382
Davicom Semiconductor, Inc.;2630
David Electronics Company, Ltd.;2015
DDUSB Technology;9435
DECATHLON SA;10302
Decto, Inc.;11317
DeepSpar;11026
Definium Technologies Pty Ltd;12205
DeLaval International AB;11516
Delkin Devices, Inc.;4189
Dell Inc.;16700
Aptiv Services US, LLC;11966
Delphi Corporation;3654
Aptiv Electrical Centers (Shanghai) Co., Ltd.;11336
Delta Computer Systems, Inc.;10151
Delta Controls;10638
Delta Dansk Elektronik, Lys & Akustik;10869
Delta Electronics Inc.;1501
Deltatee Enterprises Ltd.;9106
Denchi Power Ltd.;11088
Dension Audio Systems Ltd.;4619
Denso Corporation;1901
Denso Ten Limited;6617
Dental Imaging Technology Corporation;11640
DENTALL Co., Ltd.;12316
Depo Electronics Limited;11830
DERMALOG Identification Systems GmbH;8122
Desan Wire Co., Ltd.;6865
Design Pool Limited;11549
DETAS TECHNOLOGY LTD.;8232
DEVIALET SAS;10452
Device‐Alab;12101
DeVilbiss Healthcare LLC;10338
Dexter Research Center, Inc.;10356
Dexxon Groupe;6557
Dezhou HongJu Communication Technology Co., Ltd.;5694
DFU Technology Ltd.;10888
DiabloSport, Inc.;7840
Diagnosis S.A.;12441
Dialog Semiconductor (UK) Ltd;11727
Dialog Semiconductor GmbH;5558
DIBCOM;4280
Diebold Financial Equipment Co., Ltd.;10672
Diebold Nixdorf;12156
Diebold, Inc.;1012
Digen Co., Ltd.;11159
DIGENT CO., Ltd.;5104
Digibras Industria do Brasil S.A;9339
Digital Act Inc.;10148
Digital Business Process (dba: The Neat Company);8004
Digital Check Corp;8796
Digital Depth, Inc;12241
Digital Design Corporation;11332
Digital Divide Systems Ltd.;11959
Digital Foci, Inc.;9541
Digital Imaging Technology;8535
DigiTalks INC.;10257
DigitalPersona, Inc.;1466
DIGITTRADE GmbH;10279
Diodes Incorporated;4989
DIONEX CORPORATION;3945
Dipl. ‐ Ing. H. Horstmann GmbH;10346
Disc Soft Ltd.;9649
DisplayLink (UK) Ltd.;6121
DITECT Corporation;10224
DJ Sound Electronics, LLC / BiZi Inc.;11096
DJ Techtools (Golden Sol Music LLC. Is Holding Co.);9600
DJI Technology Co., Ltd.;11427
DJO, LLC;9210
DMX, LLC dba Mood Media;11883
Doble Engineering Co.;5685
Doblet Inc.;10907
Document Capture Technologies, Inc.;7628
dog hunter AG;10755
DOGAWIST ‐ Investment GmbH;11634
DOK (HK) Trading Limited;9130
Dolby Laboratories Inc.;3463
Dollar Connection Ltd.;10575
DOMMEL GmbH;10433
